id,Pregunta1,Pregunta2,Pregunta3,Pregunta4,Pregunta5,Pregunta6,Pregunta7,Pregunta8,Pregunta9,Pregunta10,Pregunta11,Pregunta12,Pregunta13,Pregunta14,Pregunta15,Pregunta16,Pregunta17,Pregunta18,Pregunta19,Pregunta20,Pregunta21,TOTAL
1427,0,2,2,1,0,0,1,3,1,0,2,3,1,3,1,1,0,1,2,1,2,27
1428,0,2,0,1,2,0,3,3,2,1,0,2,3,1,3,2,2,0,1,3,2,33
1429,1,0,3,3,0,2,0,3,1,3,0,1,1,3,2,1,1,1,2,0,1,29
1430,2,1,3,2,0,0,0,0,3,2,1,1,3,1,0,1,0,3,2,1,1,27
1431,3,0,3,2,1,3,1,1,1,0,1,1,3,0,3,3,3,0,2,0,2,33
1432,3,0,2,2,3,0,0,0,1,2,0,1,2,3,0,3,3,3,1,2,3,34
1433,2,2,2,3,3,2,1,3,3,1,0,1,2,1,2,1,3,2,1,2,1,38
1434,1,2,0,3,0,1,0,0,0,3,0,0,3,0,2,0,2,2,0,0,0,19
1435,0,1,3,3,2,1,2,2,3,1,2,1,3,3,2,0,0,2,0,3,1,35
1436,0,1,2,2,0,0,0,3,3,0,1,2,3,1,3,2,1,1,1,2,1,29
1437,1,2,0,3,0,1,0,0,0,2,3,1,2,1,3,3,2,0,3,2,2,31
1438,0,0,1,3,0,3,2,3,3,3,3,3,2,1,0,2,2,2,2,3,2,40
1439,3,1,3,3,0,0,1,2,2,3,3,3,1,3,2,1,2,1,0,3,2,39
1440,1,0,0,3,2,3,1,0,3,1,2,0,3,2,3,0,1,3,1,3,1,33
1441,3,1,1,0,1,3,2,2,0,2,2,2,2,3,0,0,1,2,3,1,3,34
1442,0,0,3,0,1,1,0,1,0,2,0,0,1,0,2,0,3,2,1,1,0,18
1443,2,1,0,0,1,1,3,1,2,2,3,3,3,3,2,1,2,0,1,2,0,33
1444,3,3,2,0,1,1,1,1,1,0,3,1,2,2,0,0,2,1,0,2,2,28
1445,2,0,1,3,3,0,1,1,2,2,2,2,2,1,0,1,3,1,0,2,3,32
1446,1,2,1,3,2,2,3,1,0,3,0,3,3,3,2,1,0,0,1,2,2,35
1447,0,1,0,0,1,1,1,3,1,1,0,3,3,0,2,1,0,1,1,3,2,25
1448,2,1,2,2,1,1,3,1,2,2,2,1,2,0,0,0,1,0,0,3,0,26
1449,3,3,1,2,0,2,2,2,0,2,0,1,0,0,2,3,0,2,2,3,1,31
1450,3,1,0,3,3,2,2,1,3,0,2,1,1,1,0,1,2,2,0,3,2,33
1451,3,1,0,2,1,0,3,3,0,1,1,1,0,1,0,0,3,0,1,1,3,25
1452,1,2,1,0,0,1,1,0,1,0,3,2,2,1,2,3,1,2,1,3,2,29
1453,0,3,0,3,2,2,0,1,0,0,2,3,2,2,1,0,2,2,0,0,1,26
1454,0,1,3,3,3,1,3,1,3,3,2,1,2,0,2,3,0,3,3,3,1,41
1455,1,0,2,1,3,3,0,2,2,0,0,3,1,1,2,3,1,2,2,2,2,33
1456,2,1,3,1,3,1,1,3,1,2,2,3,3,1,1,2,0,2,2,2,1,37
1457,1,1,1,0,1,1,0,2,3,1,2,0,3,3,3,3,3,0,3,3,3,37
1458,2,2,2,2,2,0,1,3,2,1,0,1,1,0,3,3,0,3,2,0,2,32
1459,0,1,0,2,0,3,3,1,2,0,3,0,3,3,0,3,0,1,3,0,2,30
1460,1,1,1,2,1,2,0,1,0,0,0,1,1,1,1,2,2,2,0,1,0,20
1461,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,7
1462,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,3,11
1463,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,3,0,15
1464,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,3,1,1,0,14
1465,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,13
1466,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,13
1467,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,2,3,3,3,2,1,20
1468,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,13
1469,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,6
1470,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,3,2,2,2,3,3,21
1471,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,8
1472,3,3,0,0,2,3,1,0,2,3,3,3,0,1,0,0,3,0,1,3,0,31
1473,0,2,2,1,0,3,2,0,1,1,3,1,0,1,0,2,2,1,1,0,0,23
1474,3,2,0,0,3,2,3,2,2,0,2,2,3,3,2,2,3,0,1,2,1,38
1475,1,2,1,2,0,1,1,2,0,3,0,3,2,0,1,2,0,2,1,1,0,25
1476,0,0,0,1,1,2,0,3,1,3,2,0,3,2,2,2,0,1,2,1,1,27
1477,1,2,0,3,3,2,0,3,0,1,3,2,3,1,1,0,1,3,1,3,1,34
1478,2,1,3,2,1,0,1,1,1,0,0,3,3,1,3,1,3,1,3,0,1,31
1479,3,1,2,0,0,3,3,0,1,2,0,2,2,1,1,3,0,0,1,0,0,25
1480,0,2,2,1,2,0,0,1,1,1,1,1,2,1,0,0,1,1,0,3,1,21
1481,1,0,2,0,2,1,0,1,3,3,0,0,3,3,1,2,2,0,3,0,1,28
1482,1,3,0,2,2,3,1,2,0,1,2,3,0,1,0,1,0,3,2,0,3,30
1483,2,3,2,3,1,1,2,1,3,3,1,1,1,0,0,2,2,2,3,2,2,37
1484,2,0,0,0,2,0,0,1,1,3,0,2,0,0,0,0,1,3,1,0,2,18
1485,2,0,3,1,3,1,1,1,1,3,0,0,1,2,3,1,1,2,0,2,0,28
1486,0,1,0,2,1,2,0,3,2,0,1,2,3,0,3,1,2,2,0,3,3,31
1487,2,3,0,1,1,1,3,0,0,0,0,0,1,3,3,0,0,0,2,0,1,21
1488,3,3,0,3,0,3,2,0,0,2,1,1,2,2,3,3,3,1,0,2,1,35
1489,1,0,0,2,3,0,2,0,0,2,1,0,1,2,2,1,2,0,0,3,2,24
1490,3,0,2,1,2,1,1,1,3,2,1,3,2,3,1,2,2,0,1,1,3,35
1491,0,1,0,1,3,2,0,3,0,2,2,1,3,3,0,3,0,2,3,0,1,30
1492,0,1,1,0,1,1,2,0,2,0,2,3,1,1,0,3,3,1,1,0,1,24
1493,0,0,3,0,0,1,1,1,1,2,0,0,1,1,3,2,0,3,3,2,2,26
1494,2,3,2,2,2,2,2,3,2,0,3,3,1,3,0,1,3,1,0,2,2,39
1495,3,2,2,3,0,1,1,2,1,1,1,3,1,3,0,3,2,3,1,1,2,36
1496,2,3,3,3,3,3,3,0,0,0,3,3,2,2,1,3,0,3,0,2,2,41
1497,3,0,3,0,0,0,1,1,0,0,3,0,1,0,3,2,2,0,3,0,0,22
1498,1,0,0,2,3,3,2,0,2,1,3,0,0,0,0,0,0,0,0,1,0,18
1499,1,0,3,3,1,2,1,2,0,1,0,0,1,2,2,3,3,0,2,2,0,29
1500,3,2,3,1,3,3,0,3,3,0,0,2,2,3,1,0,0,3,0,2,1,35
1501,1,2,1,3,1,2,0,3,0,0,1,3,3,0,0,2,0,3,1,1,2,29
1502,0,3,0,1,2,1,3,0,0,1,0,1,1,0,2,3,0,2,0,1,2,23
1503,0,0,1,1,3,1,2,0,0,1,1,2,3,0,2,2,3,3,1,3,1,30
1504,0,2,1,2,1,0,0,3,2,2,3,1,2,0,2,2,0,0,1,3,0,27
1505,0,1,3,3,3,2,1,2,0,1,1,3,2,3,3,1,3,3,1,3,2,41
1506,3,0,0,2,2,2,3,0,3,1,2,0,3,3,0,3,1,3,3,3,2,39
1507,1,2,3,1,3,1,2,2,3,1,0,0,1,0,1,3,3,1,3,1,1,33
1508,2,3,2,1,2,1,0,0,0,0,2,3,2,1,1,3,2,2,2,2,3,34
1509,1,3,2,0,2,0,0,1,0,0,2,1,0,0,1,1,2,1,1,0,1,19
1510,0,1,2,3,0,1,0,0,1,3,1,2,3,2,1,1,0,0,2,2,2,27
1511,1,1,3,1,3,3,2,0,0,3,3,3,2,3,0,1,3,2,1,1,3,39
1512,3,1,0,3,3,2,3,1,1,3,1,3,2,0,3,1,0,3,1,1,2,37
1513,1,1,2,1,2,1,0,2,1,0,0,3,0,2,1,3,0,1,3,2,0,26
1514,3,2,1,0,3,3,2,2,0,0,3,3,1,1,0,1,1,0,3,1,2,32
1515,3,0,1,3,3,2,3,1,0,0,3,3,0,1,2,0,3,0,1,2,0,31
1516,0,2,1,2,1,2,1,2,1,2,0,0,1,3,0,2,1,0,3,0,0,24
1517,2,1,2,3,3,0,1,1,0,3,0,2,1,0,2,0,1,0,1,3,0,26
1518,2,0,3,3,3,1,2,2,3,3,1,1,2,2,1,1,3,0,3,2,2,40
1519,2,2,1,0,1,3,0,0,0,1,2,2,2,1,1,2,2,0,1,3,0,26
1520,2,3,0,0,1,0,2,1,3,3,0,2,0,3,1,2,2,2,3,1,2,33
1521,1,3,1,0,2,0,1,3,2,2,0,2,3,0,2,2,1,0,3,3,3,34
1522,0,1,2,2,3,2,3,2,1,0,3,0,2,0,0,0,0,2,3,2,3,31
1523,2,2,2,0,1,3,3,1,0,3,0,2,2,2,0,2,1,2,3,2,2,35
1524,1,0,0,1,0,1,0,3,3,1,2,2,3,3,2,1,2,3,1,0,0,29
1525,0,1,0,0,0,3,0,1,0,2,2,3,1,1,2,0,0,1,1,3,1,22
1526,1,1,0,0,1,0,1,3,2,2,3,0,2,0,2,1,1,3,0,1,3,27
1527,3,0,3,1,3,2,0,1,3,0,3,3,3,0,1,0,1,3,2,0,3,35
1528,2,0,2,1,3,0,2,2,1,3,2,0,0,3,2,1,0,2,2,2,1,31
1529,2,0,1,3,3,3,3,0,2,1,0,0,2,3,2,1,3,0,3,2,0,34
1530,3,3,0,1,1,1,1,3,1,1,2,3,0,2,1,1,1,1,0,3,1,30
1531,0,0,0,1,0,1,1,1,2,2,0,0,3,1,0,0,0,3,2,2,2,21
1532,0,1,2,1,2,2,3,0,2,2,0,1,2,3,2,0,2,0,1,3,1,30
1533,1,3,1,1,1,0,0,0,0,3,3,2,2,0,1,3,1,1,1,1,3,28
1534,3,1,1,1,0,3,0,2,1,2,2,2,1,2,3,2,0,2,2,0,2,32
1535,1,0,1,3,3,3,1,0,1,0,0,2,3,2,1,0,1,1,2,3,3,31
1536,1,2,2,1,0,2,2,0,1,0,1,0,3,3,0,1,3,0,0,3,2,27
1537,0,0,1,3,1,0,0,1,0,2,2,1,2,1,2,3,2,3,2,3,3,32
1538,2,1,2,3,3,0,2,2,0,3,0,0,2,3,0,2,0,1,3,0,2,31
1539,3,3,2,0,3,3,0,3,0,1,1,0,2,1,1,2,3,1,0,2,2,33
1540,3,0,2,3,2,1,3,1,1,2,2,3,0,0,1,0,3,1,3,0,3,34
1541,2,1,2,3,2,0,3,3,0,0,1,1,2,2,2,0,3,3,3,3,0,36
1542,3,2,0,0,3,0,1,2,2,0,2,1,2,1,2,3,3,3,2,1,3,36
1543,2,0,1,2,1,3,3,3,0,2,3,3,0,2,2,2,0,0,2,3,3,37
1544,1,0,3,2,2,1,1,2,1,0,2,3,0,1,2,3,0,1,3,3,3,34
1545,3,1,1,1,3,3,3,0,2,1,2,1,1,2,3,3,3,2,2,3,3,43
1546,1,2,2,1,3,2,2,0,1,1,2,1,0,1,2,0,0,2,2,0,0,25
1547,1,2,1,1,0,0,1,2,1,1,2,3,3,3,3,2,2,1,2,1,3,35
1548,2,3,2,0,3,2,2,1,3,3,3,3,2,3,2,2,0,2,0,1,3,42
1549,0,2,1,3,2,2,1,2,1,3,0,2,3,2,1,0,2,2,1,0,0,30
1550,2,2,1,0,1,0,3,1,2,2,1,2,0,1,0,3,1,0,3,0,3,28
1551,2,1,2,3,1,2,2,3,3,2,0,3,1,2,3,2,3,2,2,3,0,42
1552,3,1,2,3,0,2,1,0,0,0,3,3,1,0,1,1,1,3,3,1,0,29
1553,3,3,0,1,2,2,3,2,0,3,3,0,0,3,3,2,0,1,2,2,0,35
1554,0,3,2,3,3,3,0,3,0,3,1,2,0,2,3,1,3,1,2,2,0,37
1555,0,1,2,3,1,2,0,2,2,1,3,2,2,2,1,0,0,1,3,1,0,29
1556,3,2,0,0,2,1,1,0,3,0,0,1,0,3,3,1,3,2,0,3,1,29
1557,1,2,1,1,0,0,1,1,3,2,1,0,1,0,2,2,0,2,1,0,0,21
1558,3,2,0,3,3,1,1,3,0,3,0,3,0,2,3,2,1,2,2,3,3,40
1559,1,0,1,1,0,1,3,0,3,1,1,2,0,3,0,2,1,1,1,3,0,25
1560,3,1,3,1,0,3,3,2,0,3,0,3,3,3,0,0,2,3,0,2,3,38
1561,2,2,1,1,3,3,1,0,0,0,2,0,1,1,3,0,3,1,0,1,3,28
1562,3,2,0,2,1,1,2,0,3,1,1,0,1,2,1,0,2,1,0,0,1,24
1563,2,2,0,3,0,3,1,3,0,0,0,1,0,2,1,3,0,1,0,3,1,26
1564,0,2,2,1,0,3,2,3,1,0,2,1,3,0,1,2,3,2,0,2,3,33
1565,1,3,0,1,1,1,0,1,2,2,0,3,3,2,0,0,2,2,0,3,0,27
1566,3,0,2,3,3,0,0,1,2,2,3,1,1,1,0,2,3,2,0,2,0,31
1567,0,2,0,2,3,1,1,2,2,1,0,3,0,3,2,1,3,1,1,1,2,31
1568,3,1,3,2,1,2,2,2,0,0,3,1,0,1,1,0,3,3,1,3,0,32
1569,3,0,3,1,1,3,3,2,0,2,2,1,2,0,3,3,3,3,2,2,1,40
1570,3,1,0,1,1,2,1,0,0,2,2,2,1,3,3,0,0,0,2,2,2,28
1571,1,3,3,0,3,2,3,2,2,2,0,1,2,3,2,0,2,0,1,2,2,36
1572,2,1,3,1,3,1,2,1,1,1,2,0,2,3,3,2,3,0,1,1,1,34
1573,0,0,3,0,2,2,3,3,2,2,2,1,1,2,3,2,1,3,0,3,0,35
1574,2,2,2,3,1,2,0,3,0,2,2,3,1,1,2,2,2,0,3,3,2,38
1575,2,1,0,0,3,1,2,0,1,0,0,3,3,0,2,2,1,1,1,1,2,26
1576,1,0,2,0,0,1,0,2,3,0,2,1,3,2,1,1,0,0,2,1,2,24
1577,0,0,2,1,2,3,1,2,3,1,1,3,0,3,3,0,2,0,3,0,2,32
1578,3,3,3,3,1,2,0,1,2,2,1,3,3,3,3,1,0,2,1,0,0,37
1579,0,3,3,3,1,0,0,0,1,1,1,2,0,2,1,1,1,0,2,1,2,25
1580,0,2,0,0,1,3,0,3,1,2,1,3,2,2,2,0,0,2,3,2,2,31
1581,3,3,3,1,0,0,0,0,2,2,3,1,3,1,1,0,3,1,2,3,1,33
1582,1,2,2,0,0,3,1,2,3,0,0,2,3,1,0,2,2,3,3,2,3,35
1583,3,3,1,0,0,0,2,3,2,0,1,2,2,0,0,0,3,1,1,0,1,25
1584,3,2,1,1,2,3,0,1,1,3,3,3,0,1,0,2,0,0,3,3,0,32
1585,3,0,0,0,0,3,2,1,3,3,0,0,3,0,0,1,3,3,1,1,1,28
1586,3,3,1,3,0,3,2,3,0,2,3,3,1,2,0,1,0,2,0,3,0,35
1587,0,2,0,2,1,2,2,3,3,1,1,1,0,3,3,0,2,0,3,0,0,29
1588,1,1,2,1,3,2,2,3,0,0,0,3,0,0,1,2,3,2,1,0,2,29
1589,1,2,2,3,3,2,2,0,3,2,1,0,2,3,1,0,0,3,3,3,1,37
1590,3,0,3,1,3,0,2,0,3,3,1,2,1,2,3,0,3,2,2,3,3,40
1591,1,2,0,1,0,3,3,0,3,3,0,3,3,0,0,1,1,0,3,3,0,30
1592,2,1,3,2,3,1,3,3,2,2,3,2,2,3,1,0,3,1,3,1,1,42
1593,0,3,0,1,2,2,0,0,3,0,0,0,2,0,2,1,2,1,1,2,1,23
1594,0,1,3,0,0,0,0,0,2,1,0,0,2,0,1,0,2,0,0,1,1,14
1595,0,1,1,0,3,1,2,3,2,3,0,0,2,1,0,2,0,1,1,2,2,27
1596,1,3,1,2,1,2,0,3,2,2,3,1,2,1,2,1,3,0,0,1,2,33
1597,3,0,3,2,1,2,1,3,1,1,1,1,1,0,1,0,2,3,3,0,2,31
1598,2,0,0,1,2,0,3,0,0,3,1,0,2,1,2,0,0,1,3,1,2,24
1599,2,2,3,3,1,0,0,0,0,1,1,3,0,0,1,1,2,3,2,2,3,30
1600,1,2,3,1,2,0,1,0,1,1,0,0,2,2,0,1,1,0,3,0,1,22
1601,0,0,2,2,1,1,2,1,2,3,3,1,2,2,1,3,0,0,3,0,1,30
1602,3,0,3,1,2,2,1,0,1,0,3,1,2,3,1,2,2,0,0,1,1,29
1603,0,2,2,2,2,2,3,1,1,3,3,3,3,2,2,2,2,2,0,3,1,41
1604,0,0,0,3,0,1,1,2,2,0,3,1,3,0,0,2,2,0,0,3,2,25
1605,1,2,0,0,2,0,2,0,3,2,2,3,2,3,0,0,3,0,0,3,0,28
1606,2,2,0,1,0,3,2,1,1,3,1,1,3,0,1,1,3,3,2,3,3,36
1607,0,0,1,0,0,1,3,3,3,0,3,1,3,0,1,2,1,0,2,3,2,29
1608,3,3,0,2,2,0,2,2,3,2,2,0,0,0,2,0,1,0,0,2,2,28
1609,1,0,1,1,3,2,3,0,0,0,3,1,3,3,0,2,0,3,2,0,2,30
1610,1,1,3,3,2,1,0,0,1,2,0,1,1,3,0,1,3,1,1,3,3,31
1611,1,3,1,2,1,2,1,0,2,3,2,3,3,3,2,3,1,0,0,0,0,33
1612,1,2,2,0,2,2,3,1,2,2,0,3,1,0,2,0,1,3,3,3,1,34
1613,0,1,0,1,3,3,0,3,0,1,3,3,2,3,1,1,1,2,3,3,1,35
1614,0,1,1,1,3,1,1,0,3,1,2,0,3,3,0,3,1,0,1,1,1,27
1615,2,1,2,0,2,1,2,0,1,0,1,3,1,2,1,2,2,1,0,2,0,26
1616,3,0,0,3,3,0,1,3,1,0,3,1,3,2,1,2,2,2,0,3,0,33
1617,1,3,0,1,3,2,3,1,2,3,2,2,0,2,2,0,2,2,3,0,2,36
1618,2,2,1,2,2,2,1,3,2,0,0,0,3,1,0,0,3,3,2,2,1,32
1619,2,2,3,1,1,1,0,0,0,1,3,1,0,1,2,3,2,3,1,3,2,32
1620,2,3,3,2,1,2,2,3,0,2,2,2,2,3,3,3,3,1,0,0,1,40
1621,1,1,0,2,0,3,2,3,1,2,2,1,3,0,2,2,0,1,0,3,2,31
1622,0,0,2,1,3,3,1,1,3,3,1,3,2,0,1,2,2,1,1,3,2,35
1623,1,1,3,2,3,2,0,1,0,1,3,1,3,2,3,2,1,1,2,2,3,37
1624,0,1,0,3,2,2,2,0,2,2,0,0,0,2,0,1,3,1,3,3,1,28
1625,1,1,0,0,0,2,0,1,2,2,1,0,1,3,3,3,3,0,3,2,3,31
1626,1,2,0,3,3,0,1,2,2,1,0,2,1,0,2,2,2,1,0,2,2,29
1627,3,3,1,3,1,0,0,2,3,2,3,0,3,1,3,0,3,2,3,0,3,39
1628,0,1,1,3,2,1,1,3,2,3,2,3,2,0,3,0,3,3,0,1,3,37
1629,0,3,0,2,3,1,1,1,3,2,0,1,0,2,2,1,2,0,3,3,2,32
1630,2,2,3,1,0,3,2,3,2,1,1,3,2,3,3,1,2,3,2,0,2,41
1631,0,2,3,1,3,1,2,3,2,1,3,2,3,0,1,3,1,0,2,0,0,33
1632,2,1,1,3,0,2,0,0,3,1,2,1,3,1,2,0,1,2,0,2,2,29
1633,1,1,3,0,3,3,1,2,0,1,2,3,3,2,0,1,3,3,2,0,2,36
1634,1,2,2,3,2,3,3,1,1,2,0,0,1,2,0,0,0,1,2,3,1,30
1635,3,0,0,3,2,1,2,0,3,3,1,2,2,0,0,2,1,3,3,3,2,36
1636,0,2,3,1,3,1,1,3,1,3,1,2,2,0,3,2,1,2,3,2,2,38
1637,0,2,2,2,1,0,0,1,2,1,2,0,0,2,0,0,3,2,0,0,0,20
1638,0,3,1,0,2,3,1,3,0,3,1,0,1,2,3,3,3,0,0,0,1,30
1639,2,2,3,3,3,0,0,1,0,0,3,1,0,3,0,3,2,1,1,0,2,30
1640,0,1,1,0,0,1,2,1,3,3,2,2,1,2,1,2,0,0,2,2,3,29
1641,3,3,2,3,1,3,3,2,3,1,3,1,1,1,3,3,0,2,3,3,0,44
1642,0,3,3,2,0,2,2,1,2,1,2,2,2,2,1,2,2,3,1,0,2,35
1643,0,0,1,3,1,3,3,2,0,3,3,1,2,1,2,0,3,2,2,0,1,33
1644,2,2,0,0,3,1,0,0,3,2,0,2,1,0,2,1,1,3,1,1,1,26
1645,2,2,0,0,1,2,1,3,1,0,0,0,2,1,3,3,0,2,2,3,2,30
1646,1,3,2,1,2,3,0,2,1,3,0,2,0,0,2,1,1,3,1,0,2,30
1647,0,3,3,1,2,0,2,1,0,0,3,0,3,3,0,0,3,1,1,3,1,30
1648,3,0,3,3,1,0,3,0,3,2,0,1,2,1,3,0,0,3,2,3,2,35
1649,1,1,2,0,1,2,2,0,2,1,2,2,3,1,0,2,3,2,3,1,3,34
1650,3,0,1,1,0,3,2,1,2,3,0,2,0,0,1,3,2,1,3,1,3,32
1651,0,3,3,2,0,1,3,0,1,2,0,2,0,1,1,1,1,0,3,2,1,27
1652,0,1,1,0,2,1,0,1,0,2,0,2,3,1,3,2,2,3,3,0,0,27
1653,1,1,1,3,3,2,3,3,1,1,2,1,1,3,2,0,3,0,3,2,3,39
1654,1,2,2,3,3,2,1,2,1,2,0,2,1,2,3,0,3,1,3,2,0,36
1655,0,1,3,3,0,1,2,2,0,1,2,3,2,3,1,2,2,0,1,1,2,32
1656,0,1,3,0,1,2,3,0,1,3,1,2,0,1,1,3,0,1,1,3,2,29
1657,3,3,0,3,0,3,3,3,1,1,1,1,3,3,0,0,0,3,2,2,1,36
1658,1,3,1,1,0,0,1,0,3,1,0,3,2,3,3,3,1,0,3,1,2,32
1659,1,0,2,1,0,0,3,0,1,1,3,2,1,2,1,0,3,0,3,3,1,28
1660,1,0,1,1,0,3,2,0,3,3,2,2,3,1,0,3,3,2,1,1,0,32
1661,0,3,2,2,3,2,1,1,1,0,3,0,1,0,1,3,3,2,3,0,3,34
1662,1,0,1,0,3,2,1,3,0,1,2,3,2,0,0,2,0,0,0,0,0,21
1663,0,1,2,3,2,2,2,3,0,2,2,0,1,2,2,2,1,2,2,3,1,35
1664,2,1,0,1,3,1,1,0,0,1,0,1,2,3,3,2,2,1,1,2,3,30
1665,3,2,3,0,0,3,1,3,1,3,0,2,1,1,0,0,1,3,1,3,3,34
1666,2,2,2,0,1,0,0,1,0,2,2,2,2,2,3,0,3,1,1,3,3,32
1667,0,2,1,0,2,2,3,3,0,1,1,1,0,3,3,1,3,0,2,3,3,34
1668,3,0,2,1,1,2,0,3,2,2,3,3,1,1,2,3,0,2,1,3,3,38
1669,3,1,0,1,1,1,0,2,3,0,1,3,0,3,3,1,0,3,2,3,3,34
1670,1,1,2,2,0,1,2,0,2,1,3,1,2,0,0,3,2,1,3,1,2,30
1671,3,3,1,0,1,0,2,1,0,0,3,0,3,1,1,2,0,0,1,1,1,24
1672,3,0,0,1,0,1,1,1,0,3,1,1,1,0,2,0,0,0,3,1,0,19
1673,1,1,3,1,0,0,2,3,0,3,1,0,1,0,1,3,0,0,2,3,1,26
1674,3,2,2,0,1,2,1,3,3,0,3,2,1,1,2,0,0,1,3,2,3,35
1675,3,0,3,2,0,2,2,0,3,2,0,3,3,1,0,3,3,1,0,0,0,31
1676,1,0,3,2,0,1,1,2,1,0,0,0,1,2,0,0,1,3,1,0,1,20
1677,2,0,0,0,1,0,2,0,0,2,1,3,3,2,0,3,0,2,3,3,3,30
1678,0,2,0,3,3,0,3,1,0,1,3,1,0,3,0,2,2,1,2,0,1,28
1679,3,1,0,0,2,1,3,0,0,0,1,2,1,0,2,0,1,3,0,1,1,22
1680,0,2,2,0,3,2,2,0,3,3,1,3,1,0,0,0,0,1,2,3,3,31
1681,1,0,1,3,2,1,1,1,3,2,1,1,3,3,2,2,3,0,2,0,1,33
1682,3,2,1,2,2,3,2,2,3,3,0,1,2,3,3,1,1,1,2,2,2,41
1683,2,2,2,0,3,2,3,3,1,1,3,2,2,1,3,2,3,1,0,3,1,40
1684,3,0,0,2,1,3,0,0,0,3,0,1,3,3,3,0,0,1,2,0,3,28
1685,1,0,2,0,3,2,0,3,2,3,1,2,2,2,1,3,3,3,1,0,3,37
1686,0,0,3,0,2,3,1,3,2,3,0,2,0,1,2,0,1,3,0,0,2,28
1687,1,1,1,1,2,2,0,0,2,3,0,3,1,1,3,0,3,0,0,0,2,26
1688,3,0,3,0,2,1,1,0,2,1,1,0,1,1,2,1,0,1,2,3,1,26
1689,2,3,1,3,3,2,3,1,0,1,3,2,1,2,0,3,3,3,2,3,2,43
1690,3,0,2,3,1,1,0,3,1,0,1,3,0,2,3,3,2,2,2,2,1,35
1691,2,0,0,2,0,3,3,3,2,0,3,3,2,3,1,1,0,1,2,2,3,36
1692,2,1,2,1,1,2,2,0,3,3,1,1,3,2,2,0,3,0,1,3,1,34
1693,1,1,1,0,1,2,3,3,3,0,0,1,0,1,0,2,0,3,1,2,3,28
1694,3,1,1,2,2,3,1,2,3,3,3,2,0,2,1,2,3,3,2,3,3,45
1695,3,2,3,0,0,0,0,3,3,0,1,2,3,3,3,0,0,0,0,3,3,32
1696,0,3,2,0,3,0,0,0,1,0,3,1,3,1,2,2,3,0,1,1,2,28
1697,0,2,2,0,0,1,3,2,0,1,3,2,2,0,1,2,0,2,3,1,0,27
1698,0,1,0,1,2,3,2,3,3,0,3,2,0,2,2,1,3,0,0,2,3,33
1699,3,1,1,0,3,1,3,3,1,1,1,2,2,2,0,3,3,0,2,1,0,33
1700,2,3,0,1,0,3,3,1,0,0,2,0,2,2,1,1,3,3,3,3,2,35
1701,1,0,1,0,3,3,2,2,0,0,3,1,1,0,2,0,2,3,3,2,3,32
1702,2,2,0,0,0,0,2,1,0,2,1,2,0,2,0,1,0,2,3,2,3,25
1703,2,1,1,2,2,0,3,3,3,1,2,3,2,0,3,3,3,3,2,2,0,41
1704,2,3,2,1,3,0,0,3,2,3,3,2,3,0,3,0,1,3,1,1,2,38
1705,3,3,0,0,2,2,1,3,3,2,1,3,1,0,2,2,2,2,1,2,0,35
1706,1,3,1,2,2,2,3,3,3,0,0,3,1,3,0,3,3,3,0,3,0,39
1707,3,2,1,0,1,0,1,0,3,1,2,2,0,0,3,2,1,0,3,1,3,29
1708,2,3,0,0,0,0,1,0,2,2,0,1,1,1,2,0,0,0,2,3,0,20
1709,2,1,3,3,2,2,2,0,1,0,1,3,1,0,3,1,1,1,1,2,1,31
1710,2,3,0,0,0,2,0,2,3,3,1,0,1,1,0,1,2,3,3,1,2,30
1711,1,0,3,1,0,1,2,3,3,1,2,2,3,2,2,3,2,1,1,3,2,38
1712,3,1,1,0,1,2,1,1,1,1,2,1,0,1,1,1,3,3,2,1,0,27
1713,1,2,1,0,1,3,0,2,2,3,1,1,1,0,1,1,1,0,3,0,3,27
1714,0,3,2,3,3,2,3,1,0,3,1,1,3,3,0,2,3,2,0,0,1,36
1715,1,2,3,2,0,0,0,2,2,3,2,0,0,1,0,3,3,3,1,1,0,29
1716,1,3,2,1,3,3,1,1,0,0,2,3,2,3,0,2,2,2,0,2,3,36
1717,2,2,1,0,0,3,1,0,3,3,1,2,1,0,3,2,2,3,3,3,3,38
1718,0,3,2,2,2,0,3,3,1,3,0,2,1,1,1,2,0,0,2,1,2,31
1719,1,1,0,0,3,2,2,2,2,2,1,0,0,2,3,3,1,3,2,2,3,35
1720,0,0,2,3,1,3,1,1,1,3,1,0,3,2,0,3,3,0,2,0,2,31
